year,sector,sub_sector,sub_sector_category,food_type,tons_supply,tons_surplus,tons_donated,tons_industrial_uses,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incineration,tons_land_application,tons_landfilled,tons_dumping,tons_sewer
2019,Foodservice,Colleges & Universities,Colleges/universities,Frozen,23053.7818,591.5416877,15.88664855,0,2.738770093,0.159559401,103.5600672,0,55.84232972,0,413.3543131,0,0
2019,Foodservice,Colleges & Universities,Colleges/universities,Prepared Foods,0,237005.5971,3479.215417,0,1348.628867,3770.063926,36683.89071,0,22773.20229,0,168950.5959,0,0
2019,Foodservice,Colleges & Universities,Colleges/universities,Produce,317303.0326,8141.743209,218.657477,0,37.69533621,2.196111785,1425.359347,0,768.5914927,0,5689.243449,0,0
2019,Foodservice,Colleges & Universities,Colleges/universities,Ready-to-drink Beverages,207337.3362,5320.110984,142.8787442,0,24.63150299,1.435019274,931.3816123,0,502.2256214,0,3717.558487,0,0
2019,Foodservice,Corrections,Corrections,Breads & Bakery,37646.66903,965.9835565,24.95107208,0,3.742680716,0.251151863,140.8240794,0,90.91153375,0,705.3030393,0,0
2019,Foodservice,Corrections,Corrections,Dairy & Eggs,56248.52464,1443.292362,37.2798186,0,5.59200253,0.375250245,210.4076378,0,135.8324595,0,1053.805195,0,0
2019,Foodservice,Corrections,Corrections,Dry Goods,123690.9946,3173.812451,81.97864517,0,12.29686217,0.82517855,462.6882245,0,298.6967592,0,2317.326783,0,0
2019,Foodservice,Corrections,Corrections,Fresh Meat & Seafood,96187.14625,2468.085597,63.74992744,0,9.562539971,0.641692389,359.8051746,0,232.2787439,0,1802.047521,0,0
2019,Foodservice,Corrections,Corrections,Frozen,5683.233511,145.8272474,3.766675051,0,0.565004262,0.037914501,21.2591485,0,13.72422816,0,106.4742771,0,0
2019,Foodservice,Corrections,Corrections,Prepared Foods,0,64945.83784,189.4249046,0,28.41388679,1172.043023,9252.99538,0,6169.759099,0,48133.20155,0,0
2019,Foodservice,Corrections,Corrections,Produce,78221.7531,2007.107912,51.84300896,0,7.7764927,0.521840034,292.6024176,0,188.8947875,0,1465.469366,0,0
2019,Foodservice,Corrections,Corrections,Ready-to-drink Beverages,51112.93702,1311.517272,33.87610666,0,5.081443024,0.340989248,191.1970564,0,123.4307209,0,957.590957,0,0
2019,Foodservice,Full Service Restaurants,All Other,Breads & Bakery,94727.71143,1738.197773,41.79593389,0,4.452718656,0.422506045,164.9377477,0,188.1651059,0,1338.423763,0,0
2019,Foodservice,Full Service Restaurants,All Other,Dairy & Eggs,33031.06398,606.1005909,14.57402639,0,1.55264001,0.147325677,57.51294121,0,65.61220111,0,466.7014569,0,0
2019,Foodservice,Full Service Restaurants,All Other,Dry Goods,153624.5649,2818.920384,67.78251116,0,7.221191726,0.685198728,267.4876163,0,305.1565597,0,2170.587308,0,0
2019,Foodservice,Full Service Restaurants,All Other,Fresh Meat & Seafood,321574.1949,5900.697285,141.8855537,0,15.11573958,1.434290339,559.9177119,0,638.7681233,0,4543.57587,0,0
2019,Foodservice,Full Service Restaurants,All Other,Prepared Foods,0,307008.0697,819.7734381,0,203.1893741,3577.734404,27545.63908,0,33782.29939,0,241079.434,0,0
2019,Foodservice,Full Service Restaurants,All Other,Produce,166194.6075,3049.57327,73.32868831,0,7.812052228,0.741263831,289.37429,0,330.1254242,0,2348.191553,0,0
2019,Foodservice,Full Service Restaurants,All Other,Ready-to-drink Beverages,82276.35636,1509.722733,36.30212425,0,3.867437113,0.366970313,143.25773,0,163.4319997,0,1162.496473,0,0
2019,Foodservice,Full Service Restaurants,Asian/noodle,Breads & Bakery,7557.476424,138.6752461,3.907479554,0,0.776827543,0.03914311,29.5025216,0,10.79289218,0,93.65638215,0,0
2019,Foodservice,Full Service Restaurants,Asian/noodle,Dairy & Eggs,31548.1813,578.8905661,16.3115128,0,3.242814771,0.163400304,123.1563088,0,45.05420861,0,390.9623211,0,0
2019,Foodservice,Full Service Restaurants,Asian/noodle,Dry Goods,335908.2335,6163.718459,173.6763016,0,34.52776471,1.739799418,1311.302789,0,479.7132196,0,4162.758587,0,0
2019,Foodservice,Full Service Restaurants,Asian/noodle,Fresh Meat & Seafood,255415.8721,4686.730984,132.0589364,0,26.25401302,1.322898165,997.0804884,0,364.7614382,0,3165.253212,0,0
2019,Foodservice,Full Service Restaurants,Asian/noodle,Prepared Foods,0,367374.2069,1572.241328,0,541.5514148,9835.984664,75526.40992,0,28983.83528,0,250914.1844,0,0
2019,Foodservice,Full Service Restaurants,Asian/noodle,Produce,252380.4794,4631.033314,130.4895322,0,25.9420072,1.307176685,985.231065,0,360.4265698,0,3127.636965,0,0
2019,Foodservice,Full Service Restaurants,Asian/noodle,Ready-to-drink Beverages,118206.9128,2169.027305,61.11710697,0,12.15040319,0.612239587,461.4505958,0,168.8122323,0,1464.884729,0,0
2019,Foodservice,Full Service Restaurants,Family Style,Breads & Bakery,203173.3849,3728.11208,91.57113963,0,10.9678674,0.924473209,408.7175326,0,270.9262173,0,2945.004852,0,0
2019,Foodservice,Full Service Restaurants,Family Style,Dairy & Eggs,672240.2984,12335.21398,302.981664,0,36.28941094,3.058806871,1352.324746,0,896.4142684,0,9744.145089,0,0
2019,Foodservice,Full Service Restaurants,Family Style,Dry Goods,402856.189,7392.174055,181.5690591,0,21.7473035,1.833063685,810.4131732,0,537.1978395,0,5839.413622,0,0
2019,Foodservice,Full Service Restaurants,Family Style,Fresh Meat & Seafood,425950.7335,7815.945359,191.9778721,0,22.99401158,1.938147762,856.8717447,0,567.9937903,0,6174.169798,0,0
2019,Foodservice,Full Service Restaurants,Family Style,Frozen,23888.62843,438.3422773,10.76671007,0,1.289574957,0.108697293,48.05600534,0,31.85484035,0,346.2664496,0,0
2019,Foodservice,Full Service Restaurants,Family Style,Prepared Foods,0,790106.7126,2715.094982,0,791.1182375,10476.43045,81737.85047,0,58405.70349,0,635980.515,0,0
2019,Foodservice,Full Service Restaurants,Family Style,Produce,321653.2965,5902.148751,144.9705577,0,17.36374431,1.463576813,647.0598585,0,428.9159771,0,4662.375041,0,0
2019,Foodservice,Full Service Restaurants,Family Style,Ready-to-drink Beverages,208311.5267,3822.393959,93.88692279,0,11.24523867,0.947852622,419.0537715,0,277.7777906,0,3019.482386,0,0
2019,Foodservice,Full Service Restaurants,Italian/pizza,Breads & Bakery,134654.4362,2470.829682,61.40852449,0,7.798198273,0.619522626,291.3946873,0,203.8181144,0,1905.790637,0,0
2019,Foodservice,Full Service Restaurants,Italian/pizza,Dairy & Eggs,264280.1745,4849.385717,120.5237349,0,15.30517121,1.215909051,571.9071794,0,400.0245989,0,3740.409127,0,0
2019,Foodservice,Full Service Restaurants,Italian/pizza,Dry Goods,868900.8866,15943.82007,396.2581767,0,50.32037254,3.997668211,1880.317569,0,1315.201677,0,12297.72461,0,0
2019,Foodservice,Full Service Restaurants,Italian/pizza,Fresh Meat & Seafood,284431.0706,5219.142806,129.7134566,0,16.47216346,1.308619967,615.514091,0,430.5257675,0,4025.608712,0,0
2019,Foodservice,Full Service Restaurants,Italian/pizza,Frozen,4289.048424,78.7015152,1.956000431,0,0.248390257,0.019733197,9.281580018,0,6.492068045,0,60.7037433,0,0
2019,Foodservice,Full Service Restaurants,Italian/pizza,Prepared Foods,0,734537.1443,2177.371413,0,599.3921706,10738.59825,82551.90757,0,61278.02974,0,577191.8452,0,0
2019,Foodservice,Full Service Restaurants,Italian/pizza,Produce,117250.6022,2151.479567,53.47158755,0,6.790295732,0.539450485,253.732469,0,177.4750043,0,1659.470762,0,0
2019,Foodservice,Full Service Restaurants,Italian/pizza,Ready-to-drink Beverages,339171.894,6223.60471,154.6777525,0,19.64235084,1.560473375,733.974244,0,513.3835754,0,4800.366318,0,0
2019,Foodservice,Full Service Restaurants,Mexican,Breads & Bakery,98556.18487,1808.448009,43.07621334,0,4.331786776,0.435702733,159.9391363,0,129.834999,0,1470.830172,0,0
2019,Foodservice,Full Service Restaurants,Mexican,Dairy & Eggs,139962.3218,2568.226261,61.17370353,0,6.151688356,0.618753316,227.1339226,0,184.3822175,0,2088.765978,0,0
2019,Foodservice,Full Service Restaurants,Mexican,Dry Goods,619944.1411,11375.61026,270.9606314,0,27.24807008,2.740683978,1006.058936,0,816.6960505,0,9251.905893,0,0
2019,Foodservice,Full Service Restaurants,Mexican,Fresh Meat & Seafood,139120.8756,2552.786217,60.80593038,0,6.114704723,0.615033403,225.7684052,0,183.2737211,0,2076.208424,0,0
2019,Foodservice,Full Service Restaurants,Mexican,Prepared Foods,0,462297.8136,1177.371424,0,281.3079443,5013.394996,38555.99288,0,33664.18673,0,383605.5597,0,0
2019,Foodservice,Full Service Restaurants,Mexican,Produce,201549.3153,3698.311358,88.09169427,0,8.858588226,0.891020566,327.0786451,0,265.5150987,0,3007.876314,0,0
2019,Foodservice,Full Service Restaurants,Mexican,Ready-to-drink Beverages,67462.96892,1237.905789,29.48621891,0,2.965163445,0.298244093,109.4803842,0,88.87371719,0,1006.802062,0,0
2019,Foodservice,Full Service Restaurants,Seafood,Breads & Bakery,3737.65026,68.58368329,1.695564378,0,0.20985455,0.017111182,7.832374297,0,6.835230929,0,51.993548,0,0
2019,Foodservice,Full Service Restaurants,Seafood,Dairy & Eggs,17469.60451,320.5569649,7.924989513,0,0.980850463,0.079976875,36.60815536,0,31.94755335,0,243.0154396,0,0
2019,Foodservice,Full Service Restaurants,Seafood,Dry Goods,55812.19165,1024.120881,25.31889221,0,3.133637854,0.25551149,116.9563616,0,102.0665905,0,776.3898877,0,0
2019,Foodservice,Full Service Restaurants,Seafood,Fresh Meat & Seafood,122147.9672,2241.343335,55.41175009,0,6.858134086,0.559200565,255.9652543,0,223.3781937,0,1699.170804,0,0
2019,Foodservice,Full Service Restaurants,Seafood,Frozen,1000.835021,18.36473381,0.454023275,0,0.056193,0.004581881,2.097284109,0,1.830277852,0,13.92237371,0,0
2019,Foodservice,Full Service Restaurants,Seafood,Prepared Foods,0,108516.6836,313.8932387,0,85.1458918,1535.786868,11798.9775,0,10984.66144,0,83798.21865,0,0
2019,Foodservice,Full Service Restaurants,Seafood,Produce,69647.50895,1277.990813,31.59520742,0,3.910437201,0.318850385,145.9487435,0,127.3679382,0,968.8496377,0,0
2019,Foodservice,Full Service Restaurants,Seafood,Ready-to-drink Beverages,25635.90178,470.4037153,11.62958512,0,1.439356346,0.117362663,53.72091133,0,46.88167607,0,356.6148241,0,0
2019,Foodservice,Full Service Restaurants,Sports Bar,Breads & Bakery,162299.5894,2978.101979,68.27669497,0,5.17620712,0.692269901,187.5061261,0,306.1407488,0,2410.309935,0,0
2019,Foodservice,Full Service Restaurants,Sports Bar,Dairy & Eggs,77207.83334,1416.718318,32.48003095,0,2.462382919,0.329320976,89.19888083,0,145.6347733,0,1146.61293,0,0
2019,Foodservice,Full Service Restaurants,Sports Bar,Dry Goods,138008.5964,2532.376549,58.05788465,0,4.401496528,0.588659514,159.4425307,0,260.321392,0,2049.564587,0,0
2019,Foodservice,Full Service Restaurants,Sports Bar,Fresh Meat & Seafood,328918.2634,6035.456621,138.3703559,0,10.49016244,1.402962352,380.0021282,0,620.4284547,0,4884.762562,0,0
2019,Foodservice,Full Service Restaurants,Sports Bar,Frozen,743.4341878,13.64157996,0.312750201,0,0.023710284,0.003171032,0.858895978,0,1.402317158,0,11.04073532,0,0
2019,Foodservice,Full Service Restaurants,Sports Bar,Prepared Foods,0,148941.7931,962.2218158,0,214.2039716,865.1708165,8344.006979,0,15605.60533,0,122950.5842,0,0
2019,Foodservice,Full Service Restaurants,Sports Bar,Produce,261868.8224,4805.138825,110.1637889,0,8.351760272,1.11697081,302.5393262,0,493.9551459,0,3889.011837,0,0
2019,Foodservice,Full Service Restaurants,Sports Bar,Ready-to-drink Beverages,112636.2882,2066.809622,47.38418331,0,3.592299644,0.480436903,130.1296827,0,212.4623836,0,1672.760637,0,0
2019,Foodservice,Full Service Restaurants,Steak,Breads & Bakery,30795.86131,565.0859368,13.44563682,0,1.34296411,0.136007554,49.56566477,0,51.68810743,0,448.9075566,0,0
2019,Foodservice,Full Service Restaurants,Steak,Dairy & Eggs,79674.96901,1461.988806,34.78651519,0,3.474513109,0.351878375,128.2361537,0,133.7273316,0,1161.412415,0,0
2019,Foodservice,Full Service Restaurants,Steak,Dry Goods,207093.2106,3800.038574,90.41799707,0,9.031043046,0.914611242,333.3146798,0,347.5874894,0,3018.772757,0,0
2019,Foodservice,Full Service Restaurants,Steak,Fresh Meat & Seafood,306604.3501,5626.009439,133.8650898,0,13.3705836,1.354094538,493.4769734,0,514.6080646,0,4469.334637,0,0
2019,Foodservice,Full Service Restaurants,Steak,Prepared Foods,0,376919.974,936.8750192,0,222.8662519,4061.920871,31175.79044,0,34976.0342,0,305546.4872,0,0
2019,Foodservice,Full Service Restaurants,Steak,Produce,295268.807,5418.008892,128.9159314,0,12.87625654,1.304031983,475.2325176,0,495.5823661,0,4304.097792,0,0
2019,Foodservice,Full Service Restaurants,Steak,Ready-to-drink Beverages,92515.67387,1697.608186,40.39283522,0,4.034478151,0.40858836,148.9031539,0,155.2793098,0,1348.589821,0,0
2019,Foodservice,Full Service Restaurants,Varied Menu,Breads & Bakery,434376.6656,7970.556256,201.5530648,0,27.70005599,2.031294116,1038.628078,0,754.7458633,0,5945.897905,0,0
2019,Foodservice,Full Service Restaurants,Varied Menu,Dairy & Eggs,649009.5195,11908.94285,301.1438415,0,41.38712193,3.034990878,1551.83177,0,1127.678554,0,8883.866579,0,0
