Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated April 12 2023


year,sector,sub_sector,sub_sector_category,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_eaten,tons_not_fit_for_human_consumption,tons_inedible_parts,tons_donated,tons_biomaterial_processing,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incinerated,tons_land_application,tons_landfilled,tons_sewer,tons_refuse_discards,upstream_mtco2e_footprint,downstream_mtco2e_footprint,total_mtco2e_footprint,gallons_water_footprint,meals_wasted
2021,Farm,Not Applicable,Not Applicable,Dry Goods,172590.3069499671,6469628.888249967,262064987.3616978,172477.9909895854,172582.24561839504,8.061331572080007,72392.17398490573,0.0,8.061331572080007,0.0,104.25462880962009,0.0,0.0,172433.8882499671,1.2098008177229678,0.0,42.89293880057708,0.0,0.0,720093.8315442426,85.91758195690981,720179.7491261995,97055956735.44981,287637076.03065836
2021,Farm,Not Applicable,Not Applicable,Produce,15334908.837972675,94988275.7981144,10638389160.274353,13353219.214105297,15084480.56818689,250428.26978578384,6873701.352420692,2962554.497958423,250428.26978578384,0.0,1731261.354081595,0.0,0.0,12547957.206674976,70786.43753624852,0.0,734475.5698940712,0.0,0.0,3095231.863003086,640119.8230935173,3735351.686096603,493024697973.5536,25140800946.978153
2021,Foodservice,Bars And Taverns,Bars And Taverns,Breads & Bakery,722.277163140082,27144.460640357425,3639887.4702432244,699.7844744555973,712.3902081330791,9.886955007002944,311.8633987705627,117.40438201573662,9.886955007002944,12.348329461435439,0.2574042160461566,0.1327777361444624,42.83565702075362,0.0,66.25749047755536,0.0,590.558549221144,0.0,0.0,1709.0781572642886,896.1789712552966,2605.2571285195854,13806430.947663793,1187317.0135551319
2021,Foodservice,Bars And Taverns,Bars And Taverns,Dairy & Eggs,343.59578511161,12912.940822615948,1843457.9738952548,332.89574720065417,338.8924437333149,4.703341378295088,75.82323970338982,2.8640255072825633,4.703341378295088,5.874246304110071,0.12245022855064804,0.06316393875386815,20.37742843873215,0.0,31.51947150202969,0.0,280.9356833211384,0.0,0.0,1630.9193483746858,145.2601821787931,1776.1795305534788,97206125.60326807,564820.7395555249
2021,Foodservice,Bars And Taverns,Bars And Taverns,Dry Goods,614.1756603169994,23081.813863893374,2120144.5440496597,595.0493987790602,605.7684623190021,8.407197997997342,159.89898508658308,14.590322120059124,8.407197997997342,10.500184399874321,0.2188791400675454,0.1129052086007949,36.42454625238019,0.0,56.340889677426404,0.0,502.17105764065275,0.0,0.0,1924.9643756486334,518.2422257810505,2443.206601429684,75188776.65193398,1009614.1038650034
2021,Foodservice,Bars And Taverns,Bars And Taverns,Fresh Meat & Seafood,1463.7754236186695,55011.28431085865,7844208.190829819,1418.1914752569119,1443.7384039090105,20.03701970965907,799.1316529646197,525.8916334430156,20.03701970965907,25.02527022980231,0.5216584222961517,0.2690889272021675,86.8112480933818,0.0,134.2782122171065,0.0,1196.8329260192215,0.0,0.0,21259.70748307224,796.1066804627062,22055.81416353495,1702914189.2553504,2406230.673181684
2021,Foodservice,Bars And Taverns,Bars And Taverns,Frozen,3.308483639131976,124.3387005775605,9148.55167268117,3.205452979559158,3.2631951674055637,0.04528847172641073,0.0,0.0,0.04528847172641073,0.0565631146583068,0.0011790731880955742,0.0006082055339602985,0.19621424801595894,0.0,0.3035009749746428,0.0,2.705129551034594,0.0,0.0,17.824965388705678,2.346077420120001,20.171042808825682,1112209.0593639617,5438.65861234261
2021,Foodservice,Bars And Taverns,Bars And Taverns,Prepared Foods,23401.335729920873,0.0,253560061.4288558,23283.32603698801,23332.51719718843,133346.64532420033,0.0,813.1777488668487,68.81853273244472,47.604177978356155,1.5869822220581205,0.713710910373532,2502.984374946299,0.0,2056.1368126974958,0.0,18722.30633166083,1.1848067730157401,0.0,107697.333506743,15272.66240436959,122969.9959111126,11081623159.984331,38887528.66198072
2021,Foodservice,Bars And Taverns,Bars And Taverns,Produce,1165.3872375972383,43797.32548126803,4157481.085592383,1129.0955013083778,1149.434731036229,15.952506561009304,1006.2584595021355,891.6668269265792,15.952506561009304,19.923910507484592,0.4153192203665657,0.21423559685466612,69.11491952625539,0.0,106.90582194523572,0.0,952.860524240032,0.0,0.0,2012.88694948293,344.1284131713361,2357.015362654266,52057092.08535101,1915724.5517270486
2021,Foodservice,Bars And Taverns,Bars And Taverns,Ready-To-Drink Beverages,501.2620120903746,18838.31810290066,459528.39776979235,485.6520344215659,494.4004425805324,6.861569509842188,34.11643840588531,0.0,6.861569509842188,8.569769041131249,0.1786391178351806,0.09214805420570833,29.728044472689184,0.0,45.98285075004769,0.0,409.8489911446233,0.0,0.0,2097.6263391887937,386.7183641510701,2484.344703339864,13357179.799239505,824000.7376342206
2021,Foodservice,Business & Industry,Business & Industry,Breads & Bakery,2080.7925895193725,120078.84281097891,7984162.31188704,2015.0070886352014,2049.1421584713953,31.65043104797758,1466.7406149926028,318.2111226878604,31.65043104797758,33.15557727532895,0.9794925608643623,0.3565115836056784,177.8753320678787,0.0,239.2376655444471,0.0,1597.53757943927,0.0,0.0,4916.0475034472065,2426.917788364572,7342.965291811778,39713263.02620523,3415236.930785659
